EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,Technology,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL@gmail.com,650.507.9833,21-Jun-07,SH_CLERK,2600,word,124,50
199,Douglas,Grant,DGRANT@gmail.com,650.507.9844,13-Jan-08,SH_CLERK,2600,word,124,50
200,Jennifer,Whalen,JWHALEN@gmail.com,515.123.4444,17-Sep-03,AD_ASST,4400,excel,101,10
201,Michael,Hartstein,MHARTSTE@gmail.com,515.123.5555,17-Feb-04,MK_MAN,13000,powerpoint,100,20
202,Pat,Fay,PFAY@gmail.com,603.123.6666,17-Aug-05,MK_REP,6000,powerpoint,201,20
203,Susan,Mavris,SMAVRIS@gmail.com,515.123.7777,07-Jun-02,HR_REP,6500,powerpoint,101,40
204,Hermann,Baer,HBAER@gmail.com,515.123.8888,07-Jun-02,PR_REP,10000,powerpoint,101,70
205,Shelley,Higgins,SHIGGINS@gmail.com,515.123.8080,07-Jun-02,AC_MGR,12008,powerpoint,101,110
206,William,Gietz,WGIETZ@gmail.com,515.123.8181,07-Jun-02,AC_ACCOUNT,8300,powerpoint,205,110
100,Steven,King,SKING@gmail.com,515.123.4567,17-Jun-03,AD_PRES,24000,powerpoint," - ",90
101,Neena,Kochhar,NKOCHHAR@gmail.com,515.123.4568,21-Sep-05,AD_VP,17000,powerpoint,100,90
102,Lex,"De Haan",LDEHAAN@gmail.com,515.123.4569,13-Jan-01,AD_VP,17000,powerpoint,100,90
103,Alexander,Hunold,AHUNOLD@gmail.com,590.423.4567,03-Jan-06,IT_PROG,9000,excel,102,60
104,Bruce,Ernst,BERNST@gmail.com,590.423.4568,21-May-07,IT_PROG,6000,excel,103,60
105,David,Austin,DAUSTIN@gmail.com,590.423.4569,25-Jun-05,IT_PROG,4800,excel,103,60
106,Valli,Pataballa,VPATABAL@gmail.com,590.423.4560,05-Feb-06,IT_PROG,4800,excel,103,60
107,Diana,Lorentz,DLORENTZ@gmail.com,590.423.5567,07-Feb-07,IT_PROG,4200,excel,103,60
108,Nancy,Greenberg,NGREENBE@gmail.com,515.124.4569,17-Aug-02,FI_MGR,12008,excel,101,100
109,Daniel,Faviet,DFAVIET@gmail.com,515.124.4169,16-Aug-02,FI_ACCOUNT,9000,excel,108,100
110,John,Chen,JCHEN@gmail.com,515.124.4269,28-Sep-05,FI_ACCOUNT,8200,excel,108,100
111,Ismael,Sciarra,ISCIARRA@gmail.com,515.124.4369,30-Sep-05,FI_ACCOUNT,7700,excel,108,100
112,"Jose Manuel",Urman,JMURMAN@gmail.com,515.124.4469,07-Mar-06,FI_ACCOUNT,7800,word,108,100
113,Luis,Popp,LPOPP@gmail.com,515.124.4567,07-Dec-07,FI_ACCOUNT,6900,word,108,100
114,Den,Raphaely,DRAPHEAL@gmail.com,515.127.4561,07-Dec-02,PU_MAN,11000,word,100,30
115,Alexander,Khoo,AKHOO@gmail.com,515.127.4562,18-May-03,PU_CLERK,3100,word,114,30
116,Shelli,Baida,SBAIDA@gmail.com,515.127.4563,24-Dec-05,PU_CLERK,2900,word,114,30
117,Sigal,Tobias,STOBIAS@gmail.com,515.127.4564,24-Jul-05,PU_CLERK,2800,word,114,30
118,Guy,Himuro,GHIMURO@gmail.com,515.127.4565,15-Nov-06,PU_CLERK,2600,word,114,30
